Player,Jersey_Num,Class,Position,Height,Weight,Hometown,High_School,Summary,Team,Year
Josh Carlton,25,SR,F,6-11,240,Winterville NC,DeMatha Catholic High School,3.5 Pts 3.7 Reb 0.4 Ast,Connecticut ,2021
Andre Jackson,44,FR,G,6-6,210,Amsterdam NY,Albany Academy,2.7 Pts 2.9 Reb 1.6 Ast,Connecticut ,2021
Akok Akok,11,SO,F,6-9,215,Manchester NH,Putnam Science Academy,1.3 Pts 0.4 Reb 0.1 Ast,Connecticut ,2021
Richie Springs,13,FR,F,6-9,225,Brooklyn NY,The MacDuffie School,1.0 Pts 1.0 Reb 0.0 Ast,Connecticut ,2021
Javonte Brown,31,FR,C,7-0,250,Toronto Canada,Thornlea Secondary HS,2.0 Pts 1.0 Reb 0.0 Ast,Connecticut ,2021
Andrew Hurley,20,FR,G,6-1,175,Glastonbury CT,St. Anthony HS,0.8 Pts 0.0 Reb 0.0 Ast,Connecticut ,2021
Marcus Zegarowski,11,JR,G,6-2,180,Hamilton MA,Tilton School,15.8 Pts 3.6 Reb 4.3 Ast,Creighton,2021
Denzel Mahoney,34,SR,G,6-5,220,Oviedo FL,Hagerty High School,12.5 Pts 4.1 Reb 1.7 Ast,Creighton,2021
Damien Jefferson,23,SR,G,6-5,220,East Chicago IN,East Chicago Central High School,11.9 Pts 5.4 Reb 2.4 Ast,Creighton,2021
Christian Bishop,32,JR,F,6-7,220,Lee's Summit MO,West HS,11.0 Pts 6.4 Reb 1.2 Ast,Creighton,2021
Mitchell Ballock,24,SR,G,6-5,205,Eudora KS,Eudora High School,9.9 Pts 3.2 Reb 2.6 Ast,Creighton,2021
Ryan Kalkbrenner,32,FR,C,7-0,235,St. Louis MO,Trinity Catholic HS,5.9 Pts 3.5 Reb 0.3 Ast,Creighton,2021
Antwann Jones,25,SO,G,6-6,220,Orlando FL,Oak Ridge HS,3.4 Pts 2.2 Reb 1.3 Ast,Creighton,2021
Shereef Mitchell,4,SO,G,6-0,170,Omaha NE,Sunrise Christian Academy,3.3 Pts 1.4 Reb 1.5 Ast,Creighton,2021
Alex O'Connell,5,SR,G,6-6,180,Roswell GA,Milton High School,3.4 Pts 2.2 Reb 0.5 Ast,Creighton,2021
Jacob Epperson,41,JR,C,6-11,235,Melbourne Australia,La Lumiere School,1.1 Pts 1.4 Reb 0.4 Ast,Creighton,2021
Nic Zeil,20,SO,F,6-8,210,Kansas City MO,Park Hill HS,0.7 Pts 0.9 Reb 0.0 Ast,Creighton,2021
Sami Osmani,14,FR,G,6-4,205,Oak Lawn IL,Oak Lawn Community HS,0.7 Pts 0.3 Reb 0.0 Ast,Creighton,2021
Jett Canfield,10,JR,G,5-10,165,Topeka KS,Hayden Catholic HS,0.1 Pts 0.1 Reb 0.2 Ast,Creighton,2021
Devin Davis,22,FR,G,6-0,175,Chicago IL,Westinghouse College Prep,0.2 Pts 0.0 Reb 0.1 Ast,Creighton,2021
Andrew Merfeld,12,FR,G,5-11,185,Omaha NE,Skutt Catholic HS,0.4 Pts 0.2 Reb 0.0 Ast,Creighton,2021
Joseph Yesufu,1,SO,G,6-0,180,Bolingbrook IL,Bolingbrook HS,12.8 Pts 1.8 Reb 1.8 Ast,Drake,2021
Tremell Murphy,2,SR,F,6-6,210,Griffith IN,Griffith HS,10.1 Pts 5.2 Reb 1.3 Ast,Drake,2021
D.J. Wilkins,0,JR,G,6-2,182,Merrillville IN,Merrillville HS,10.1 Pts 1.8 Reb 2.1 Ast,Drake,2021
ShanQuan Hemphill,4,SR,F,6-6,195,Gary IN,Michigan City HS,13.2 Pts 5.9 Reb 1.4 Ast,Drake,2021
Roman Penn,1,SR,G,6-0,185,Calumet City IL,Don Bosco Preparatory,11.2 Pts 3.3 Reb 5.5 Ast,Drake,2021
Garrett Sturtz,3,JR,G,6-3,175,Newton IA,Newton HS,8.2 Pts 5.5 Reb 1.3 Ast,Drake,2021
Darnell Brodie,51,JR,F,6-10,275,Newark NJ,Montverde Academy,7.7 Pts 7.3 Reb 1.0 Ast,Drake,2021
Jonah Jackson,20,SR,G,6-3,210,Merrillville IN,Merrillville HS,2.6 Pts 0.4 Reb 0.3 Ast,Drake,2021
Nate Ferguson,24,FR,F,6-8,210,Lemont IL,Lemont HS,2.5 Pts 1.5 Reb 0.1 Ast,Drake,2021
Issa Samake,13,FR,F,6-8,220,Des Moines IA,Grand View Christian School,2.1 Pts 2.1 Reb 0.2 Ast,Drake,2021
Okay Djamgouz,10,FR,G,6-5,182,Toronto Canada,London Basketball Academy,2.1 Pts 0.4 Reb 0.2 Ast,Drake,2021
Bryceson Burns,11,FR,G,6-5,190,Houston TX,Westfield HS,1.6 Pts 0.7 Reb 0.2 Ast,Drake,2021
Jordan Kwiecinski,21,,G,6-9,195,Chicago IL,Loyola Academy,1.1 Pts 1.4 Reb 0.3 Ast,Drake,2021
Andrew Barrett,22,JR,G,6-5,183,Rock Island IL,Alleman HS,0.7 Pts 1.1 Reb 0.3 Ast,Drake,2021
Deven Dahlke,41,,G,6-2,185,Phoenix AZ,St. Mary's HS,1.0 Pts 0.0 Reb 0.0 Ast,Drake,2021
Connor Gholson,25,JR,G,6-3,192,Newton IA,Newton High School,0.2 Pts 0.4 Reb 0.1 Ast,Drake,2021
Camren Wynter,11,JR,G,6-2,175,Hempstead NY,DME Academy,16.2 Pts 3.6 Reb 5.2 Ast,Drexel,2021
James Butler,51,SR,F,6-8,242,Fairfax Station VA,Lake Braddock Secondary School,12.8 Pts 9.2 Reb 1.8 Ast,Drexel,2021
Zach Walton,5,SR,G,6-6,205,Morton WA,Morton (WA),10.5 Pts 4.0 Reb 1.5 Ast,Drexel,2021
T.J. Bickerstaff,1,SO,F,6-9,207,Atlanta GA,Sandy Creek HS,10.2 Pts 5.2 Reb 1.4 Ast,Drexel,2021
Mate Okros,21,SO,F,6-6,193,Debrecen Hungary,Myerscough (England),7.2 Pts 1.7 Reb 1.5 Ast,Drexel,2021
Xavier Bell,4,FR,G,6-3,178,Wichita KS,Andover Central HS,4.0 Pts 0.8 Reb 1.0 Ast,Drexel,2021
Matey Juric,15,JR,G,5-11,193,Toronto Canada,Lake Forest Academy,3.8 Pts 2.1 Reb 1.6 Ast,Drexel,2021
Lamar Oden,1,FR,G,6-6,210,Powder Springs GA,Greenforest-McCalep Christian HS,3.7 Pts 1.6 Reb 0.5 Ast,Drexel,2021
Tim Perry,13,JR,F,6-10,230,Cherry Hill NJ,The Phelps School,1.6 Pts 2.6 Reb 0.2 Ast,Drexel,2021
Luke House,14,,G,6-4,210,Norristown PA,Archbishop Carroll (PA),2.0 Pts 0.3 Reb 0.3 Ast,Drexel,2021
Amari Williams,22,FR,F,6-10,227,Nottingham United Kingdom,Myerscough College (England),1.1 Pts 1.0 Reb 0.6 Ast,Drexel,2021
Anto Keshgegian,12,SR,G,6-3,185,Media PA,St. Joseph's Prep,0.2 Pts 0.0 Reb 0.0 Ast,Drexel,2021
Julian Adams,20,SR,G,6-1,175,York PA,Dallastown Area HS,0.0 Pts 0.0 Reb 0.0 Ast,Drexel,2021
Tadas Kararinas,32,SR,F,6-10,210,Silute Lithuania,Findlay College Prep,0.0 Pts 0.2 Reb 0.0 Ast,Drexel,2021
Tanner Groves,35,JR,F,6-9,235,Spokane WA,Shadle Park HS,17.2 Pts 8.0 Reb 1.3 Ast,Eastern Washington,2021
Kim Aiken,24,JR,G,6-7,215,Redlands CA,East Valley HS,11.3 Pts 8.4 Reb 2.0 Ast,Eastern Washington,2021
Tyler Robertson,2,SO,G,6-6,200,Melbourne Australia,Box Hill Senior (Australia),11.1 Pts 3.6 Reb 3.0 Ast,Eastern Washington,2021
Jacob Groves,34,SO,G,6-7,185,Spokane WA,Shadle Park HS,9.3 Pts 4.2 Reb 0.9 Ast,Eastern Washington,2021
Jacob Davison,10,SR,G,6-4,175,Long Beach CA,Cantwell-Sacred Heart of Mary High School,9.8 Pts 2.6 Reb 1.5 Ast,Eastern Washington,2021
Michael Meadows,25,SO,G,6-2,175,Hollywood CA,Campbell Hall HS,10.5 Pts 2.2 Reb 2.5 Ast,Eastern Washington,2021
Jack Perry,11,SR,G,6-2,175,Melbourne Australia,Camberwell Grammar School,4.3 Pts 1.5 Reb 1.7 Ast,Eastern Washington,2021
Ellis Magnuson,55,SO,G,6-2,190,Boise ID,Borah HS,3.6 Pts 1.0 Reb 2.0 Ast,Eastern Washington,2021
Steele Venters,2,FR,G,6-7,175,Ellensburg WA,Ellensburg HS,3.6 Pts 1.4 Reb 0.7 Ast,Eastern Washington,2021
Casson Rouse,5,SO,G,6-2,180,Lacey WA,Timberline HS,2.9 Pts 1.1 Reb 1.1 Ast,Eastern Washington,2021
Isaiah Amato,4,,G,6-5,175,Portland OR,Central Catholic HS,1.1 Pts 0.7 Reb 0.3 Ast,Eastern Washington,2021
Victor Radocaj,21,,F,6-9,195,Richmond Canada,Rise Centre Academy,1.0 Pts 0.7 Reb 0.1 Ast,Eastern Washington,2021
Jordan Veening,23,JR,F,6-6,205,Sumas WA,Nooksack Valley HS,0.2 Pts 0.6 Reb 0.2 Ast,Eastern Washington,2021
Austin Fadal,1,SO,G,6-4,175,San Ramon CA,Hillcrest Prep,0.0 Pts 0.0 Reb 0.0 Ast,Eastern Washington,2021
Tre Mann,1,SO,G,6-5,190,Gainesville FL,The Villages (FL),16.0 Pts 5.6 Reb 3.5 Ast,Florida,2021
Colin Castleton,12,JR,F,6-11,231,Daytona Beach FL,Father Lopez Catholic HS,12.4 Pts 6.4 Reb 1.1 Ast,Florida,2021
Tyree Appleby,22,JR,G,6-1,170,Jacksonville AR,Jacksonville High School,11.3 Pts 3.1 Reb 3.3 Ast,Florida,2021
Noah Locke,0,JR,G,6-3,203,Randallstown MD,McDonogh School,10.6 Pts 2.4 Reb 0.7 Ast,Florida,2021
Scottie Lewis,23,SO,G,6-5,189,Hazlet NJ,Ranney School,7.9 Pts 3.1 Reb 1.5 Ast,Florida,2021
Anthony Duruji,4,JR,F,6-7,220,Germantown MD,St. Andrew's Episcopal School,6.1 Pts 4.4 Reb 0.6 Ast,Florida,2021
Omar Payne,4,SO,F,6-10,230,Kissimmee FL,Montverde Academy,3.8 Pts 3.2 Reb 0.4 Ast,Florida,2021
Keyontae Johnson,11,JR,F,6-5,229,Norfolk VA,Oak Hill Academy,16.0 Pts 4.5 Reb 1.3 Ast,Florida,2021
Ques Glover,0,SO,G,5-11,182,Knoxville TN,Bearden (TN),2.5 Pts 0.8 Reb 0.7 Ast,Florida,2021
Samson Ruzhentsev,2,FR,F,6-7,192,,Hamilton Heights (Tenn.) HS,2.0 Pts 0.7 Reb 0.1 Ast,Florida,2021
Osayi Osifo,15,JR,F,6-7,225,,McKinney Boyd (TX),1.9 Pts 2.6 Reb 0.4 Ast,Florida,2021
Niels Lane,44,FR,G,6-5,206,Freehold NJ,Roselle Catholic HS,1.1 Pts 0.7 Reb 0.3 Ast,Florida,2021
Jason Jitoboh,33,SO,C,6-11,285,Abuja Nigeria,Hamilton Heights (TN),0.9 Pts 0.6 Reb 0.0 Ast,Florida,2021
Alex Klatsky,3,FR,G,6-4,185,Colts Neck NJ,Ranney School,0.0 Pts 0.0 Reb 0.0 Ast,Florida,2021
Jack May,20,FR,G,6-4,175,Boca Raton FL,Saint Andrew's School,0.0 Pts 0.3 Reb 0.0 Ast,Florida,2021
Raiquan Gray,1,JR,F,6-8,260,Fort Lauderdale FL,Dillard HS,11.9 Pts 6.4 Reb 2.2 Ast,Florida St. ,2021
M.J. Walker,23,SR,G,6-5,213,Jonesboro GA,Jonesboro High School,12.2 Pts 2.5 Reb 2.5 Ast,Florida St. ,2021
Scottie Barnes,4,FR,G,6-9,227,West Palm Beach FL,Montverde Academy,10.3 Pts 4.0 Reb 4.1 Ast,Florida St. ,2021
Balsa Koprivica,5,SO,C,7-1,240,Belgrade Serbia,Montverde Academy,9.1 Pts 5.6 Reb 0.8 Ast,Florida St. ,2021
Anthony Polite,2,JR,G,6-6,215,Lugano Switzerland,Saint Andrew's School,10.1 Pts 4.5 Reb 1.8 Ast,Florida St. ,2021
Malik Osborne,10,JR,F,6-9,225,Matteson IL,Don Bosco Preparatory High School,5.9 Pts 4.5 Reb 0.3 Ast,Florida St. ,2021
Sardaar Calhoun,5,JR,G,6-6,220,Tappahannock VA,Blue Ridge (VA),5.3 Pts 1.4 Reb 0.6 Ast,Florida St. ,2021
RayQuan Evans,0,SR,G,6-4,210,Billiings MT,Billings Skyview (MT),5.1 Pts 2.0 Reb 1.4 Ast,Florida St. ,2021
Wyatt Wilkes,31,JR,F,6-8,220,Orlando FL,Winter Park High School,3.9 Pts 1.6 Reb 0.9 Ast,Florida St. ,2021
Nathanael Jack,0,SR,G,6-5,195,Mississauga Canada,Calusa (FL),3.6 Pts 0.7 Reb 0.3 Ast,Florida St. ,2021
Tanor Ngom,11,FR,C,7-1,236,Dakar Senegal,Ryerson University (ON),2.4 Pts 1.7 Reb 0.0 Ast,Florida St. ,2021
Quincy Ballard,15,FR,C,6-11,240,Syracuse NY,Quality Education Academy,1.2 Pts 0.7 Reb 0.1 Ast,Florida St. ,2021
Justin Lindner,12,SR,G,6-1,180,Memphis TN,Christian Brothers High School,0.7 Pts 0.3 Reb 0.9 Ast,Florida St. ,2021
Travis Light,20,SR,G,6-5,180,Vienna VA,Montverde Academy,0.5 Pts 0.5 Reb 0.0 Ast,Florida St. ,2021
Harrison Prieto,30,SR,F,6-8,230,Mandeville LA,St. Paul's School,0.8 Pts 0.3 Reb 0.0 Ast,Florida St. ,2021
Will Miles,33,SR,F,6-6,220,Orlando FL,Trinity Preparatory School,0.4 Pts 0.1 Reb 0.3 Ast,Florida St. ,2021
Jahvon Blair,0,SR,G,6-4,190,Brampton Canada,St. Edmund Campion,15.4 Pts 3.6 Reb 3.6 Ast,Georgetown,2021
Qudus Wahab,33,SO,C,6-11,237,Lagos Nigeria,Flint Hill (VA),12.7 Pts 8.2 Reb 0.2 Ast,Georgetown,2021
Jamorko Pickett,1,SR,F,6-9,206,Washington DC,Massanutten Military Academy,12.2 Pts 7.2 Reb 2.1 Ast,Georgetown,2021
Chudier Bile,4,SR,F,6-7,195,Denver CO,Denver South (CO),10.2 Pts 5.0 Reb 0.8 Ast,Georgetown,2021
Donald Carey,13,JR,G,6-5,187,Upper Marlboro MD,Frederick Douglass High School,8.0 Pts 3.0 Reb 1.7 Ast,Georgetown,2021
Dante Harris,2,FR,G,6-0,170,Washington DC,Lakeway Christian Academy,8.0 Pts 3.4 Reb 3.2 Ast,Georgetown,2021
Timothy Ighoefe,5,SO,C,7-0,250,Lagos Nigeria,NBA Academy Africa,2.5 Pts 3.2 Reb 0.0 Ast,Georgetown,2021
Jamari Sibley,12,FR,F,6-8,200,Milwaukee WI,Oak Hill Academy,1.2 Pts 0.9 Reb 0.0 Ast,Georgetown,2021
Jalen Harris,3,SR,G,6-2,166,Wilson NC,Word of God Christian Academy,4.8 Pts 3.6 Reb 5.2 Ast,Georgetown,2021
T.J. Berger,20,FR,G,6-4,170,West Chester PA,Westtown School,1.4 Pts 0.5 Reb 0.5 Ast,Georgetown,2021
Collin Holloway,23,FR,F,6-6,220,Baton Rouge LA,Port Allen HS,1.5 Pts 0.7 Reb 0.1 Ast,Georgetown,2021
Kobe Clark,24,FR,F,6-6,180,St. Louis MO,Vashon HS,0.6 Pts 1.6 Reb 0.3 Ast,Georgetown,2021
Malcolm Wilson,32,SO,C,7-0,205,Columbia SC,Ridge View HS,0.4 Pts 1.2 Reb 0.0 Ast,Georgetown,2021
Moses Wright,5,SR,F,6-9,233,Raleigh NC,Enloe High School,17.4 Pts 8.0 Reb 2.3 Ast,Georgia Tech,2021
Jose Alvarado,10,SR,G,6-0,179,Brooklyn NY,Christ The King Regional High School,15.2 Pts 3.5 Reb 4.1 Ast,Georgia Tech,2021
Michael Devoe,0,JR,G,6-5,197,Orlando FL,Montverde Academy,15.0 Pts 4.3 Reb 3.3 Ast,Georgia Tech,2021
Jordan Usher,4,SR,G,6-7,213,Canton GA,Sequoyah High School,11.6 Pts 4.2 Reb 2.8 Ast,Georgia Tech,2021
Bubba Parham,3,SR,G,5-10,162,Snellville GA,Brookwood High School,6.7 Pts 2.6 Reb 1.4 Ast,Georgia Tech,2021
Khalid Moore,12,JR,F,6-7,200,Briarwood NY,Archbishop Molloy (NY),4.8 Pts 3.0 Reb 0.8 Ast,Georgia Tech,2021
Kyle Sturdivant,1,SO,G,6-2,198,Norcross GA,Norcross HS,3.5 Pts 0.9 Reb 1.0 Ast,Georgia Tech,2021
Rodney Howard,24,SO,C,6-10,241,Ypsilanti MI,Legacy Charter School,1.6 Pts 1.4 Reb 0.2 Ast,Georgia Tech,2021
Saba Gigiberia,2,FR,F,7-1,250,Tbilisi Georgia,Prolific Preparatory School,1.1 Pts 1.8 Reb 0.3 Ast,Georgia Tech,2021
Tristan Maxwell,11,FR,G,6-2,209,Charlotte NC,North Mecklenburg HS,3.0 Pts 0.0 Reb 0.0 Ast,Georgia Tech,2021
Malachi Rice,55,SR,G,6-0,186,Indianapolis IN,Brebeuf Jesuit Preparatory School,3.0 Pts 0.0 Reb 1.0 Ast,Georgia Tech,2021
Shaheed Medlock,55,SR,G,6-5,196,Waycross GA,Ware County High School,1.0 Pts 0.0 Reb 0.0 Ast,Georgia Tech,2021
Coleman Boyd,13,SO,G,6-1,173,Smyrna GA,Mt. Bethel Christian Academy,0.0 Pts 0.0 Reb 0.0 Ast,Georgia Tech,2021
Niko Broadway,34,SO,G,6-3,195,Atlanta GA,St. Pius X HS,0.0 Pts 0.0 Reb 0.0 Ast,Georgia Tech,2021
David Didenko,12,JR,F,6-9,232,Boca Raton FL,Boca Raton (FL),0.0 Pts 0.4 Reb 0.0 Ast,Georgia Tech,2021
Jehloni James,35,SO,F,6-6,180,Sugar Hill GA,Lanier HS,0.0 Pts 1.0 Reb 0.0 Ast,Georgia Tech,2021
Jordan Meka,23,FR,F,6-8,224,Yaounde Cameroon,Mount Bethel Christian Academy,0.0 Pts 1.0 Reb 0.0 Ast,Georgia Tech,2021
Drew Timme,2,SO,F,6-10,235,Richardson TX,Pearce (TX),19.0 Pts 7.0 Reb 2.3 Ast,Gonzaga,2021
Corey Kispert,24,SR,F,6-7,220,Edmonds WA,King's (Shoreline WA),18.6 Pts 5.0 Reb 1.8 Ast,Gonzaga,2021
Jalen Suggs,1,FR,G,6-4,205,West St. Paul MN,Minnehaha HS,14.4 Pts 5.3 Reb 4.5 Ast,Gonzaga,2021
Joel Ayayi,11,JR,G,6-5,180,Paris France,Institut national du sport (France),12.0 Pts 6.9 Reb 2.7 Ast,Gonzaga,2021
Andrew Nembhard,3,JR,G,6-5,193,Aurora Canada,Montverde Academy,9.2 Pts 2.4 Reb 4.4 Ast,Gonzaga,2021
Anton Watson,22,SO,F,6-8,225,Spokane WA,Gonzaga Prep,6.9 Pts 3.3 Reb 1.2 Ast,Gonzaga,2021
Aaron Cook,10,SR,G,6-1,180,St. Louis MO,Westminster Christian Academy,4.2 Pts 1.6 Reb 1.7 Ast,Gonzaga,2021
Julian Strawther,0,FR,G,6-7,205,Las Vegas NV,Liberty HS,3.4 Pts 1.2 Reb 0.0 Ast,Gonzaga,2021
Dominick Harris,55,FR,G,6-3,190,Murrieta CA,Rancho Christian School,3.0 Pts 0.7 Reb 0.4 Ast,Gonzaga,2021
Oumar Ballo,11,FR,C,7-0,260,Koulikoro Mali,Canterbury Academy (Spain),2.5 Pts 1.5 Reb 0.1 Ast,Gonzaga,2021
Ben Gregg,33,,F,6-10,225,Clackamas OR,Clackamas HS,0.9 Pts 1.0 Reb 0.1 Ast,Gonzaga,2021
Pavel Zakharov,10,SO,F,7-0,235,St. Petersburg Russia,Montverde Academy,0.8 Pts 0.4 Reb 0.0 Ast,Gonzaga,2021
Matthew Lang,23,JR,G,6-3,185,Portland OR,Jesuit HS,0.5 Pts 0.0 Reb 0.0 Ast,Gonzaga,2021
Martynas Arlauskas,5,SO,G,6-7,205,Kaunas Lithuania,President Valdas Adamkus (Lithuania),0.1 Pts 0.3 Reb 0.1 Ast,Gonzaga,2021
Will Graves,35,JR,G,6-5,185,Eugene OR,South Eugene HS,0.2 Pts 0.4 Reb 0.0 Ast,Gonzaga,2021
Asbjorn Midtgaard,33,SR,C,7-0,270,Helsingor Denmark,Espergarde Gymansium,14.2 Pts 9.7 Reb 0.7 Ast,Grand Canyon,2021
Alessandro Lever,25,SR,F,6-10,235,Bolzano Italy,Grissin Bon Reggio Emilia,13.3 Pts 5.4 Reb 1.7 Ast,Grand Canyon,2021
Jovan Blacksher,10,SO,G,5-11,155,Phoenix AZ,Shadow Mountain HS,12.0 Pts 3.7 Reb 5.4 Ast,Grand Canyon,2021
Mikey Dixon,3,SR,G,6-2,165,New Castle DE,Sanford School,8.3 Pts 2.0 Reb 1.4 Ast,Grand Canyon,2021
Oscar Frayer,4,SR,F,6-6,195,Oakland CA,Moreau Catholic High School,6.6 Pts 2.5 Reb 2.0 Ast,Grand Canyon,2021
Gabe McGlothan,30,SO,F,6-7,220,Gilbert AZ,Putnam Science Academy,6.1 Pts 5.3 Reb 0.6 Ast,Grand Canyon,2021
Chance McMillian,2,FR,G,6-2,170,Vallejo CA,Golden State Prep,4.2 Pts 1.7 Reb 0.9 Ast,Grand Canyon,2021
Sean Miller-Moore,0,SR,G,6-4,200,Toronto Canada,Thornlea (ON),4.0 Pts 2.6 Reb 1.6 Ast,Grand Canyon,2021
Jayden Stone,14,FR,G,6-4,180,Perth Australia,Sunrise Christian HS,3.8 Pts 1.1 Reb 1.3 Ast,Grand Canyon,2021
Rashad Smith,23,JR,G,6-5,190,Chandler AZ,Hamilton (AZ),3.7 Pts 0.5 Reb 0.9 Ast,Grand Canyon,2021
Liam Lloyd,21,FR,G,6-5,190,Spokane WA,Gonzaga Prep,2.5 Pts 1.8 Reb 1.2 Ast,Grand Canyon,2021
Dima Zdor,1,JR,F,6-10,215,Yalta Ukraine,Saint James School,1.8 Pts 1.2 Reb 0.2 Ast,Grand Canyon,2021
Bryce Okpoh,24,SO,F,6-6,190,The Colony TX,The Colony HS,1.6 Pts 1.8 Reb 0.1 Ast,Grand Canyon,2021
Ethan Spry,31,SO,F,6-7,200,Scottsdale AZ,Scottsdale Christian Academy,0.6 Pts 0.8 Reb 0.2 Ast,Grand Canyon,2021
Raef Gerdes,15,JR,F,6-7,180,Lee's Summit MT,Summit Christian HS,0.4 Pts 0.0 Reb 0.0 Ast,Grand Canyon,2021
Austin Williams,20,JR,G,6-4,200,Roseland NJ,Seton Hall Prep (NJ),14.1 Pts 6.2 Reb 1.6 Ast,Hartford,2021
Traci Carter,25,SR,G,6-1,175,Philadelphia PA,Life Center Academy,11.7 Pts 3.5 Reb 3.5 Ast,Hartford,2021
Hunter Marks,0,JR,F,6-9,190,Phillip Island Australia,Wonthaggi Secondary (Australia),9.5 Pts 5.8 Reb 1.4 Ast,Hartford,2021
Miroslav Stafl,12,SO,F,6-10,235,Liberec Czechia,Get Better Academy (Czechia),10.3 Pts 5.5 Reb 1.2 Ast,Hartford,2021
DJ Mitchell,2,JR,G,6-0,160,Englewood Cliffs NJ,St. Thomas More School (Conn.),7.5 Pts 2.0 Reb 0.9 Ast,Hartford,2021
Moses Flowers,4,SO,G,6-3,180,Dorchester MA,Thayer Academy,11.6 Pts 5.7 Reb 1.3 Ast,Hartford,2021
PJ Henry,3,SO,G,5-10,165,Houston TX,Shadow Creek (TX),4.2 Pts 1.7 Reb 1.5 Ast,Hartford,2021
Michael Dunne,23,JR,G,6-0,190,Matawan NJ,Matawan Regional HS,2.9 Pts 1.5 Reb 0.3 Ast,Hartford,2021
Thomas Webley,15,FR,F,6-10,240,Christchurch New Zealand,Cashmere HS,3.0 Pts 2.6 Reb 0.3 Ast,Hartford,2021
Briggs McClain,1,FR,G,6-4,175,Martinsburg WV,Hedgesville HS,0.6 Pts 0.3 Reb 0.0 Ast,Hartford,2021
Cameron McCravy,5,SO,G,6-0,170,Charlotte NC,Combine Academy,0.4 Pts 0.0 Reb 0.0 Ast,Hartford,2021
Jakub Dombek,3,SO,F,6-11,210,Ostrava Czechia,Get Better Academy,0.3 Pts 0.7 Reb 0.0 Ast,Hartford,2021
AJ Gray,22,FR,G,6-4,205,Rochester NY,Bishop Kearney HS,0.0 Pts 0.2 Reb 0.0 Ast,Hartford,2021
Matt Hobbs,21,SR,G,6-4,200,Anchorage AK,South Anchorage (AK),0.0 Pts 0.1 Reb 0.0 Ast,Hartford,2021
Rastislav Sipkovsky,14,FR,F,6-6,190,Sered Slovakia,Get Better Academy,0.0 Pts 0.3 Reb 0.0 Ast,Hartford,2021
Quentin Grimes,24,JR,G,6-5,205,The Woodlands TX,College Park HS,17.8 Pts 5.7 Reb 2.0 Ast,Houston ,2021
Marcus Sasser,0,SO,G,6-1,190,Red Oak TX,Red Oak HS,13.7 Pts 2.6 Reb 2.2 Ast,Houston ,2021
Dejon Jarreau,3,SR,G,6-5,185,New Orleans LA,McDonogh No. 35 High School,10.6 Pts 5.4 Reb 4.3 Ast,Houston ,2021
Justin Gorham,4,SR,F,6-7,225,Baltimore MD,Calvert Hall College High School,8.4 Pts 8.6 Reb 1.2 Ast,Houston ,2021
Tramon Mark,12,FR,G,6-5,180,Dickinson TX,Dickinson HS,7.8 Pts 3.0 Reb 1.7 Ast,Houston ,2021
Reggie Chaney,32,JR,F,6-8,225,Tulsa OK,Findlay Prep,4.7 Pts 2.8 Reb 0.5 Ast,Houston ,2021
Cameron Tyson,5,SO,G,6-2,190,Bothell WA,Bothell HS,6.2 Pts 0.9 Reb 0.4 Ast,Houston ,2021
Brison Gresham,44,SR,F,6-8,230,New Orleans LA,McDonogh No. 35 High School,3.0 Pts 3.0 Reb 0.3 Ast,Houston ,2021
Jamal Shead,1,FR,G,6-1,190,Manor TX,Manor HS,3.3 Pts 1.1 Reb 1.5 Ast,Houston ,2021
Fabian White,35,SR,F,6-8,225,Atascocita TX,Atascocita High School,6.2 Pts 4.1 Reb 0.8 Ast,Houston ,2021
J'Wan Roberts,13,FR,F,6-7,220,St. Thomas U.S. Virgin Islands,Shoemaker (TX),1.9 Pts 3.8 Reb 0.3 Ast,Houston ,2021
Caleb Mills,4,SO,G,6-3,180,Arden NC,T.C. Roberson HS,9.8 Pts 1.3 Reb 0.3 Ast,Houston ,2021
Kiyron Powell,52,FR,C,6-8,205,Evansville IN,Benjamin Bosse HS,2.3 Pts 2.1 Reb 0.1 Ast,Houston ,2021
Ryan Elvin,20,FR,G,6-0,155,Round Rock TX,Cedar Ridge HS,1.9 Pts 0.4 Reb 0.3 Ast,Houston ,2021
Caleb Broodo,30,JR,C,6-8,240,Midland MI,Dow HS,1.0 Pts 1.0 Reb 0.3 Ast,Houston ,2021
Ayo Dosunmu,11,JR,G,6-5,200,Chicago IL,Morgan Park HS,20.1 Pts 6.3 Reb 5.3 Ast,Illinois,2021
Kofi Cockburn,21,SO,C,7-0,285,Kingston Jamaica,Oak Hill Academy,17.7 Pts 9.5 Reb 0.2 Ast,Illinois,2021
Trent Frazier,1,SR,G,6-2,175,Wellington FL,Wellington High School,10.2 Pts 2.7 Reb 2.7 Ast,Illinois,2021
Andre Curbelo,5,FR,G,6-1,175,Vega Baja Puerto Rico,Long Island Lutheran HS,9.1 Pts 4.0 Reb 4.2 Ast,Illinois,2021
Adam Miller,44,FR,G,6-3,180,Peoria IL,Morgan Park HS,8.3 Pts 2.8 Reb 0.8 Ast,Illinois,2021
Da'Monte Williams,20,SR,G,6-3,215,Peoria IL,Manual HS,5.5 Pts 5.3 Reb 1.7 Ast,Illinois,2021
Giorgi Bezhanishvili,15,JR,F,6-9,245,Rustavi Georgia,The Patrick School,5.1 Pts 2.7 Reb 0.4 Ast,Illinois,2021
