"","TEAM","CONF","G","RECORD","W","L","WINPCT","ADJOE","ADJDE","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","X2P_O","X2P_D","X3P_O","X3P_D","ADJ_T","WAB","POSTSEASON","SEED","YEAR"
"93","Kentucky","SEC",40,"29 - 11",29,11,0.725,117.2,96.2,49.9,46,18.1,16.1,42,29.7,51.8,36.8,50,44.9,33.2,32.2,65.9,3.9,"Runner-up",8,2014
"94","Louisiana Lafayette","SB",32,"20 - 12",20,12,0.625,110.5,104.5,51.5,50.4,18.8,18.5,36.5,31.8,44.3,44,49.6,50.6,37.1,33.2,70,-3.8,"First Round",14,2014
"95","Louisville","Amer",37,"31 - 6",31,6,0.838,118.8,87.6,53.5,43.9,15.3,25,37.1,32.7,41.2,38.4,52.7,44.3,36.8,28.6,68.8,5.3,"Sweet Sixteen",4,2014
"96","Manhattan","MAAC",33,"25 - 8",25,8,0.758,106.2,96.4,50.7,45.4,19.7,21.7,34.4,33.3,55.5,52.8,48.7,44,36.9,32.7,69.6,-0.5,"First Round",13,2014
"97","Massachusetts","A10",33,"24 - 9",24,9,0.727,109,96.9,50.4,46.6,18.8,18.7,34.3,31.7,39.2,37.2,49.9,46.8,34.6,30.8,71.8,3.6,"First Round",6,2014
"98","Memphis","Amer",33,"23 - 10",23,10,0.697,112.6,97,51.9,48.4,18.6,20.3,35.8,33.3,39.5,33.8,52.7,49.2,33,31,69.5,2.8,"Second Round",8,2014
"99","Mercer","ASun",33,"24 - 9",24,9,0.727,109.6,101.8,54,46.8,17.5,19,32,31.1,37.3,41,51.6,46.9,38.8,31,65.2,-2.8,"Second Round",14,2014
"100","Michigan","B10",37,"28 - 9",28,9,0.757,125,99.9,55.7,49.4,14.8,17.1,29.4,30.5,34.9,26.7,52.7,50.2,40.2,31.8,62.6,7.7,"Elite Eight",2,2014
"101","Michigan St.","B10",38,"29 - 9",29,9,0.763,119.6,95.3,54.5,45.8,17.4,17.7,32.9,27.5,33.7,40.3,52.1,43.5,39.2,33.2,66.2,6.9,"Elite Eight",4,2014
"102","Milwaukee","Horz",34,"20 - 14",20,14,0.588,104.3,103.9,49.1,49.1,19.9,18.5,28.6,31.2,44.7,36.5,49.1,50.4,32.7,31,67.8,-6.1,"First Round",15,2014
"103","Mount St. Mary's","NEC",33,"16 - 17",16,17,0.485,107.1,111,51.5,53.5,16.7,18.8,27.8,33,36.7,34.5,50.2,54.6,35.5,33.4,69.9,-9.4,"First Four",16,2014
"104","Nebraska","B10",32,"19 - 13",19,13,0.594,108.2,95,48.3,47.6,16.7,19,25.7,29,42.3,44.9,47.4,47.8,33.3,31.5,66.4,1.3,"First Round",11,2014
"105","New Mexico","MWC",34,"27 - 7",27,7,0.794,112.8,95.7,51.1,45,15.9,14.9,32.5,28.2,46.7,31.3,51.7,41.1,33.2,34.8,66.2,4.4,"First Round",7,2014
"106","New Mexico St.","WAC",35,"25 - 10",25,10,0.714,111.6,102,53.2,44.4,18.7,16.1,37.7,33,53.9,34.1,52.9,42.7,36.1,33.2,67.1,-2.3,"First Round",13,2014
"107","North Carolina","ACC",34,"24 - 10",24,10,0.706,113.4,94.7,49.9,47,16.9,19.3,38.1,31.3,42.9,41.4,49.7,46.7,33.6,31.7,70.8,4.2,"Second Round",6,2014
"108","North Carolina Central","MEAC",32,"26 - 6",26,6,0.812,107.9,100.2,50.2,44.4,17.2,23.7,35.4,33.1,49.5,44.8,50.8,43.2,32.5,31,64.1,-0.6,"First Round",14,2014
"109","North Carolina St.","ACC",36,"22 - 14",22,14,0.611,114.8,101.4,50,47.5,15.8,17.4,34.1,35.6,37,42.6,51.5,47.3,30.5,32.1,66.5,0.6,"First Round",12,2014
"110","North Dakota St.","Sum",30,"23 - 7",23,7,0.767,113.9,103,54.5,49.8,15.6,17.1,30.6,27.9,41.6,40.2,55.4,46.1,34.7,37.8,64,0.2,"Second Round",12,2014
"111","Ohio St.","B10",35,"25 - 10",25,10,0.714,108.4,88.5,50.3,45.2,17.2,21.9,29.6,29.6,42.3,29.8,51.1,45.9,32.4,29.3,65.4,4.5,"First Round",6,2014
"112","Oklahoma","B12",33,"23 - 10",23,10,0.697,118.2,99.4,51.7,49.7,15.7,17.8,32.4,30.4,39.4,38.5,48.7,48.8,37.9,34.2,71.6,4.1,"First Round",5,2014
"113","Oklahoma St.","B12",34,"21 - 13",21,13,0.618,115.6,94.8,52.4,46.3,14.7,20,28,32,49.7,41,51.3,45,36.4,32.7,69.2,1.4,"First Round",9,2014
"114","Oregon","P12",34,"24 - 10",24,10,0.706,118.1,100,53.5,49.1,16.1,18.9,32.2,31.9,43.8,47.8,51,49.4,38.9,32.4,69.3,2.6,"Second Round",7,2014
"115","Pittsburgh","ACC",36,"26 - 10",26,10,0.722,117.1,94,50.7,46.7,16.3,19.2,37.2,29,44.3,36.4,50.1,45.5,35.1,32.6,63.8,4.1,"Second Round",9,2014
"116","Providence","BE",35,"22 - 13",22,13,0.629,114.9,100.4,48.3,48.9,17.3,16.4,35.3,30.8,41.9,33.7,46.5,48.8,34.7,32.8,64.9,1.2,"First Round",11,2014
"117","Saint Joseph's","A10",34,"24 - 10",24,10,0.706,113.8,97.5,53.9,47.8,18.7,15.3,29.5,27.8,43.6,30.6,52.3,46,37.9,34.2,65.9,2.1,"First Round",10,2014
"118","Saint Louis","A10",33,"26 - 7",26,7,0.788,104.9,90.4,49.6,44.4,18.6,21,28.8,29,40.3,35.6,50.5,44.4,31.7,29.6,67.5,3.8,"Second Round",5,2014
"119","San Diego St.","MWC",34,"29 - 5",29,5,0.853,109.4,90.7,46.7,44.4,15.2,20.6,36.1,29.4,45.1,32.4,45.1,43.5,34.2,30.8,64,6,"Sweet Sixteen",4,2014
"120","Stanford","P12",36,"23 - 13",23,13,0.639,111.7,96.5,51.3,48,17,17,29.3,28.1,45,37,49.9,45.8,36.4,34.9,67.2,1.1,"Sweet Sixteen",10,2014
"121","Stephen F. Austin","Slnd",33,"30 - 3",30,3,0.909,112,101.6,52.3,50.5,16.9,23.6,38.2,28.9,39.9,50.7,52.3,50,34.9,34.7,63.5,1.7,"Second Round",12,2014
"122","Syracuse","ACC",34,"28 - 6",28,6,0.824,114.2,92.8,48.2,48,14.8,21.9,38.1,31.5,38.2,36.7,47.7,45.5,33.1,34.5,61.5,7.9,"Second Round",3,2014
"123","Tennessee","SEC",36,"23 - 13",23,13,0.639,118.1,93.4,49.8,46.5,16.8,16.9,39.7,27.5,41.8,31.5,50.6,44.5,31.9,34.5,63.1,0.4,"Sweet Sixteen",11,2014
"124","Texas","B12",35,"24 - 11",24,11,0.686,112.4,96.7,47.4,46.5,17.5,16.3,39.6,30.2,43.4,41,46.9,42.9,32.7,35.2,68.7,3.6,"Second Round",7,2014
"125","Texas Southern","SWAC",33,"18 - 15",18,15,0.545,106.1,112.9,51.7,50.2,19.3,15.8,33.6,31.2,49.3,29.8,50.7,48.9,35.8,35.6,67.6,-9.7,"First Four",16,2014
"126","Tulsa","CUSA",34,"21 - 13",21,13,0.618,105.6,95.8,49.2,46.4,16.7,20.3,30.2,29.6,47.1,47.5,49.2,43.2,32.7,35.2,68.4,-3.6,"First Round",13,2014
"127","UCLA","P12",37,"28 - 9",28,9,0.757,119,96.6,54.1,49.9,14.5,20.3,29.8,28.6,38.2,35.7,53,48.6,38,34.4,70.2,4.5,"Sweet Sixteen",4,2014
"128","VCU","A10",35,"26 - 9",26,9,0.743,108.3,89.8,47.9,47.8,17.2,25.6,34.9,30.8,35.2,39.7,45.6,48.8,34.9,30.3,70.8,3.6,"First Round",5,2014
"129","Villanova","BE",34,"29 - 5",29,5,0.853,115.2,92.5,53.6,46.3,17.3,20,32.6,28.7,44.5,38.6,53.8,43,35.6,35.3,67.6,8.3,"Second Round",2,2014
"130","Virginia","ACC",37,"30 - 7",30,7,0.811,114.6,89.5,50.8,44.2,16.5,18.4,33.9,25.8,42,32.5,49,42.1,36.9,32.3,61.2,8.2,"Sweet Sixteen",1,2014
"131","Weber St.","BSky",29,"17 - 12",17,12,0.586,106,106.6,54.1,47.8,19,13.8,28.4,28.7,49.7,35.1,51.1,47,39.4,33.7,64.3,-6.9,"First Round",16,2014
"132","Western Michigan","MAC",32,"22 - 10",22,10,0.688,104.7,102.5,52,47.6,20.9,18.5,31,32,51.4,34.7,53.7,47.8,32.6,31.5,67,-2.9,"First Round",14,2014
