"","TEAM","CONF","G","RECORD","W","L","WINPCT","ADJOE","ADJDE","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","X2P_O","X2P_D","X3P_O","X3P_D","ADJ_T","WAB","POSTSEASON","SEED","YEAR"
"404","Virginia Tech","ACC",33,"21 - 12",21,12,0.636,115.2,98.6,57.7,50.4,17,18.6,23.9,29.4,36.5,29.4,57.3,49.2,38.8,34.7,70.2,1.3,"First Round",8,2018
"405","West Virginia","B12",37,"26 - 11",26,11,0.703,120.9,95.8,50.4,49.9,16.5,23.3,37,30.1,31.3,44.1,48.8,45.4,35.3,38,71.2,4.6,"Sweet Sixteen",5,2018
"406","Wichita St.","Amer",33,"25 - 8",25,8,0.758,120.9,102.7,55.1,49.4,16.5,16.3,35.4,22.6,34.8,33.2,53.8,46,38.1,36.3,70.1,3.4,"First Round",4,2018
"407","Wright St.","Horz",33,"25 - 8",25,8,0.758,99.4,97.2,48.6,48.3,18.6,21,28.7,25.3,35.3,29.9,47.7,45.8,33.5,34.7,69.3,-3.5,"First Round",14,2018
"408","Xavier","BE",35,"29 - 6",29,6,0.829,120.9,97.7,55.9,49.9,17.2,15.7,30.2,23.1,41,25.6,55.9,49.8,37.2,33.4,71.7,8.8,"Second Round",1,2018
"409","Abilene Christian","Slnd",30,"27 - 3",27,3,0.9,100.9,100.7,51.9,49.8,17.3,23.3,27,28.5,34,38.3,49.5,49.8,37.7,33.3,67.1,-2.6,"First Round",15,2019
"410","Arizona St.","P12",34,"23 - 11",23,11,0.676,108.7,97.6,50.6,48.5,18.7,19,31.7,26.9,43.8,38.6,50.8,47.3,33.6,33.4,71.9,0.1,"First Round",11,2019
"411","Auburn","SEC",39,"30 - 9",30,9,0.769,121.3,95.2,54.4,51.7,16.8,24.6,31.6,32.8,30.9,36.4,51.7,51.4,38.1,34.8,69.3,6.1,"Final Four",5,2019
"412","Baylor","B12",34,"20 - 14",20,14,0.588,114.6,99.2,51.2,49.1,19.7,18.6,37.9,29.4,32.3,36.5,51.2,47.5,34.1,34.5,66.6,0.9,"Second Round",9,2019
"413","Belmont","OVC",32,"27 - 5",27,5,0.844,114.9,101,57.6,48.7,15.2,16,25.3,25,28.5,27.4,59.2,47.2,37,34.4,72.5,1.2,"First Round",11,2019
"414","Bradley","MVC",34,"20 - 14",20,14,0.588,101.1,100.5,49.7,47.6,18.8,18.4,26.7,26.7,36.3,35.6,46.5,46.5,37,32.8,66.5,-7.9,"First Round",15,2019
"415","Buffalo","MAC",35,"32 - 3",32,3,0.914,113.6,95.3,53.4,47.3,16,20.3,31.7,26.9,32.7,31.9,55.7,49.3,33.7,29.3,74.9,5.5,"Second Round",6,2019
"416","Cincinnati","Amer",35,"28 - 7",28,7,0.8,112.3,93.8,49,48.6,16,20.9,37.4,29.3,37.6,30.5,47.6,45.1,34.5,35.5,65,5.8,"First Round",7,2019
"417","Colgate","Pat",34,"24 - 10",24,10,0.706,109.1,105.5,55.9,50.7,19.3,17.8,30.2,27.1,28.4,28.2,53.5,50.5,39.5,33.9,67.9,-4.4,"First Round",15,2019
"418","Duke","ACC",38,"32 - 6",32,6,0.842,118.9,89.2,53.6,45,17.5,19.4,35.6,29.5,33.2,24,58,45,30.8,29.9,73.6,11.2,"Elite Eight",1,2019
"419","Fairleigh Dickinson","NEC",33,"21 - 12",21,12,0.636,104.5,110.3,54.2,52,19.7,20.2,29.5,33.2,35.7,29.4,51,51.3,40.1,35.3,68,-9.3,"First Round",16,2019
"420","Florida","SEC",36,"20 - 16",20,16,0.556,110.3,91.6,49.8,48.1,17.9,22.4,30.6,32.2,29.9,33.6,49.5,48.5,33.4,31.6,64.3,0.7,"Second Round",10,2019
"421","Florida St.","ACC",37,"29 - 8",29,8,0.784,111.7,90.9,50.5,47.2,18.9,20.3,32.8,27,35.8,35.7,50.9,45.3,33.2,33.5,70,7.6,"Sweet Sixteen",4,2019
"422","Gardner Webb","BSth",32,"23 - 9",23,9,0.719,106,106.6,54.8,50.5,17.1,18.2,22.4,31.3,38.3,27.6,53.6,50.4,37.7,33.7,68.7,-5,"First Round",16,2019
"423","Georgia St.","SB",33,"24 - 9",24,9,0.727,106.4,101.1,53.7,50.3,16.4,21,23,33.8,35.4,30.9,51.2,51.2,38.1,32.8,71.3,-1.3,"First Round",14,2019
"424","Gonzaga","WCC",37,"33 - 4",33,4,0.892,123.4,89.9,59,44.2,14.9,19,31.5,26.8,35.3,25.9,61.4,43.4,36.3,30.4,72,7,"Elite Eight",1,2019
"425","Houston","Amer",37,"33 - 4",33,4,0.892,115.7,90.5,52.1,42.5,16.5,18.2,34.4,26,31.6,37.3,51.3,43,35.5,27.9,67.3,7.8,"Sweet Sixteen",3,2019
"426","Iona","MAAC",33,"17 - 16",17,16,0.515,105.2,108.8,53,52.3,17.3,18.5,25.1,30.7,36.8,28.5,53.2,50.3,35.1,36.6,71.9,-10.4,"First Round",16,2019
"427","Iowa","B10",35,"23 - 12",23,12,0.657,116.1,100.6,52.7,51.5,17.2,18.4,29.8,29.4,42.3,28.8,51.4,53.5,36.4,32.4,70.9,3.2,"Second Round",10,2019
"428","Iowa St.","B12",35,"23 - 12",23,12,0.657,118.4,96.6,54.7,48.4,16.3,18.8,28.3,30.1,30,23.6,55,47.1,36.2,33.6,69.1,4.3,"First Round",6,2019
"429","Kansas","B12",36,"26 - 10",26,10,0.722,112.9,92.4,52.6,47.8,18.8,18.2,30.1,27.9,32.5,27.8,52.6,46,35,33.6,71.5,8.3,"Second Round",4,2019
"430","Kansas St.","B12",34,"25 - 9",25,9,0.735,108,87.8,49.4,48.2,17.4,22.8,28.3,25.7,30.6,30.7,48.9,49,33.4,31.4,64.9,6.5,"First Round",4,2019
"431","Kentucky","SEC",37,"30 - 7",30,7,0.811,117.5,89.8,53,46.6,18.6,17.9,36.8,25.5,41.9,26.8,52.9,43.6,35.4,34.3,66.9,8.8,"Elite Eight",2,2019
"432","LSU","SEC",35,"28 - 7",28,7,0.8,117.9,96.6,51.2,49.9,17.9,20.1,36.7,30.8,37.1,33.1,52.9,49.4,31.9,33.7,71.2,7.3,"Sweet Sixteen",3,2019
"433","Liberty","BSth",33,"29 - 4",29,4,0.879,109.2,99.6,55.9,48.9,17.2,20.5,25.2,26.4,26.7,32.7,56.4,48.3,36.8,33.3,63.5,-0.6,"Second Round",12,2019
"434","Louisville","ACC",34,"20 - 14",20,14,0.588,112.9,93.1,50.9,46.7,17.5,16.1,29.1,25.9,34.9,32,50.6,46,34.2,32,68.6,2.3,"First Round",7,2019
"435","Marquette","BE",34,"24 - 10",24,10,0.706,111.7,95.9,53.5,46.3,19.4,16.6,29.4,26.1,35.1,35.9,50,45.1,38.8,32.4,70.5,2.7,"First Round",5,2019
"436","Maryland","B10",34,"23 - 11",23,11,0.676,111.6,93.3,51.4,45.9,19.4,14.1,34.1,24.8,32.8,26.6,50.8,44.7,34.9,31.9,67.7,4.2,"Second Round",6,2019
"437","Michigan","B10",37,"30 - 7",30,7,0.811,114.6,85.6,51.6,44.1,13.9,18,24.7,24.8,27.5,24.1,51.8,44.3,34.2,29.1,65.9,9.2,"Sweet Sixteen",2,2019
"438","Michigan St.","B10",39,"32 - 7",32,7,0.821,119.9,91,55.2,43.9,18.5,14.9,33.9,26.4,33.6,27.5,54.3,41.9,37.8,31.6,68.6,10.7,"Final Four",2,2019
"439","Minnesota","B10",36,"22 - 14",22,14,0.611,110.4,96.3,48.2,49.5,17.1,16.9,31.4,28.4,41.6,28.2,48.5,48.7,31.7,34,68.8,2.7,"Second Round",10,2019
"440","Mississippi","SEC",33,"20 - 13",20,13,0.606,113.3,97.9,53.1,51,18.2,20.6,30.2,29.3,30.9,33.5,52.7,48.2,35.8,37.4,69.7,0.9,"First Round",8,2019
"441","Mississippi St.","SEC",34,"23 - 11",23,11,0.676,116.9,96.8,54.6,50.3,19.2,19.5,34.7,29.6,32.7,32.1,53.4,48.4,37.7,35.7,69,4.5,"First Round",5,2019
"442","Montana","BSky",33,"26 - 7",26,7,0.788,106.2,103.2,56.1,50.1,17.3,19.2,27.4,24.9,31.6,37.3,55.6,49.3,37.8,34.4,68,-3.2,"First Round",15,2019
"443","Murray St.","OVC",31,"28 - 3",28,3,0.903,110.4,98.6,54.8,46.5,17.2,19.4,32,30.7,33.5,27.4,56.2,48.3,34.9,28.9,70.2,1.2,"Second Round",12,2019
"444","Nevada","MWC",34,"29 - 5",29,5,0.853,112.5,95.9,53.7,47.7,14.6,19.2,27.2,24.9,40.8,28,54.9,46.3,34.7,33.2,70.8,3.8,"First Round",7,2019
"445","New Mexico St.","WAC",33,"30 - 3",30,3,0.909,111.8,98.2,54.1,48.9,17.8,19.1,37,22.5,34.6,32.5,56.7,48,34,33.5,67.1,1.4,"First Round",12,2019
"446","North Carolina","ACC",36,"29 - 7",29,7,0.806,120.1,91.4,52.9,48.9,17.2,18.3,35.3,22.8,30.2,28.4,52.1,47.9,36.2,33.5,76,10,"Sweet Sixteen",1,2019
"447","North Carolina Central","MEAC",31,"18 - 13",18,13,0.581,98,108.3,49.9,49.9,22.7,17.5,34.8,26.9,33.5,31.4,51.3,50.9,31.5,32,66.4,-10.9,"First Four",16,2019
"448","North Dakota St.","Sum",33,"19 - 14",19,14,0.576,106.6,109,53.5,53.6,15.7,14.4,20.7,25.9,32.2,26.5,52.1,52.6,36.7,37,66.5,-8.6,"First Round",16,2019
"449","Northeastern","CAA",34,"23 - 11",23,11,0.676,109.1,102.5,56.5,52.1,16.6,16.7,22.7,24.6,34.3,27.8,55.8,53,38.2,33.7,67.5,-2.8,"First Round",13,2019
"450","Northern Kentucky","Horz",33,"26 - 7",26,7,0.788,107.8,101.3,54.6,49.1,17.8,18.4,30.6,26,34.8,35.2,55,49.9,36,32,69.3,-2.2,"First Round",14,2019
"451","Ohio St.","B10",35,"20 - 15",20,15,0.571,107.8,93.8,50.3,48.3,18.7,18.2,27.6,25.9,33.7,31.8,49.7,47.9,34.1,32.7,67.2,0.9,"Second Round",11,2019
"452","Oklahoma","B12",34,"20 - 14",20,14,0.588,110.5,93.1,50.4,47.5,17,17.3,25.8,27.8,31.3,23.1,49.7,45.8,34.6,33.3,70.3,2.5,"Second Round",9,2019
"453","Old Dominion","CUSA",35,"26 - 9",26,9,0.743,99.3,94.6,47.2,45.6,17.8,18.5,32.1,24.8,28.9,32.4,44.1,43.5,34.9,32.4,65.9,-1.8,"First Round",14,2019
"454","Oregon","P12",38,"25 - 13",25,13,0.658,108.1,91.7,52,46.4,17.8,20.9,29.6,28.8,29.4,33.9,51.6,48.8,35.1,29,65.4,-1.1,"Sweet Sixteen",12,2019
"455","Prairie View A&M","SWAC",34,"22 - 12",22,12,0.647,101.7,105.7,49,51.2,17.4,24.7,29.7,34.3,43.1,46.2,49.2,53.7,32.4,31.2,72.2,-7.1,"First Four",16,2019
"456","Purdue","B10",36,"26 - 10",26,10,0.722,122.8,94.3,53.6,49,15.8,18.6,34.5,27,29.9,31.7,51.5,47.2,37.4,34.2,67,6.1,"Elite Eight",3,2019
"457","Saint Louis","A10",36,"23 - 13",23,13,0.639,101.3,95.7,46.7,46.9,19.3,19.4,36,25.1,39.4,33.5,47.2,46.7,30.4,31.4,67.7,-3.2,"First Round",13,2019
"458","Saint Mary's","WCC",34,"22 - 12",22,12,0.647,113.1,96.3,53.8,48.9,16.2,16.3,31.2,23,29.1,29.1,52.3,49.2,37.8,32.1,64.1,-0.8,"First Round",11,2019
"459","Seton Hall","BE",34,"20 - 14",20,14,0.588,107.9,96.9,49.9,49.6,17.5,19.8,29.5,29.2,34.5,32.8,50.6,48.7,32.4,34,70.4,-0.4,"First Round",10,2019
"460","St. John's","BE",34,"21 - 13",21,13,0.618,107.4,99.5,51.9,50.7,14.3,21.2,21.8,29.4,29.5,39.7,50.7,50.3,35.8,34.2,72.3,-1.2,"First Four",11,2019
"461","Syracuse","ACC",34,"20 - 14",20,14,0.588,110.5,94.2,49.6,48.1,18.5,23.1,30.2,33.4,36.8,34.3,49.3,46.9,33.3,32.9,67.3,0.4,"First Round",8,2019
"462","Temple","Amer",33,"23 - 10",23,10,0.697,109.4,97.6,49.9,50.6,15.7,20.6,26.9,29.2,32.5,33.9,50.1,51.5,33,32.9,70.2,1.8,"First Four",11,2019
"463","Tennessee","SEC",36,"31 - 5",31,5,0.861,122.8,95.2,55.3,48.1,15.8,18,31.6,30.2,33.3,34.9,55.4,44.7,36.7,35.4,68.8,9.9,"Sweet Sixteen",2,2019
"464","Texas Tech","B12",38,"31 - 7",31,7,0.816,115.2,85.2,53.5,43,17.7,22.8,27.4,28.7,32.9,36.6,52.8,41.9,36.5,29.7,67.5,7,"Runner-up",3,2019
"465","UC Irvine","BW",36,"31 - 5",31,5,0.861,107.2,97.6,51.3,44.1,17.5,16.7,33.7,27,28.7,33,50.1,40.7,35.9,33.9,66.6,0.7,"Second Round",13,2019
"466","UCF","Amer",33,"24 - 9",24,9,0.727,112.7,93.3,52.9,45.4,17.6,18,29.5,29.6,45.3,29.2,52,44.5,36.5,31.3,66.4,2,"Second Round",9,2019
"467","Utah St.","MWC",34,"28 - 6",28,6,0.824,111.3,96.8,53.9,46.5,18.2,17.3,32,22.3,36.7,34.3,54.2,42.2,35.7,35.3,69.6,2,"First Round",8,2019
"468","VCU","A10",33,"25 - 8",25,8,0.758,104.6,87.6,50.1,43.5,20,23.4,31,30.6,35.7,36.6,53.1,43.8,30.5,28.5,69.7,1.1,"First Round",8,2019
"469","Vermont","AE",33,"27 - 6",27,6,0.818,107,98.1,52.6,48.7,16.8,19.1,27.3,22.2,35.9,27.5,51.6,46.3,35.9,35.1,66.7,-1,"First Round",13,2019
"470","Villanova","BE",36,"26 - 10",26,10,0.722,114.6,98.9,53.2,50.4,16.9,18,30.3,27.7,34.4,28.2,53.7,49.7,35.2,34.3,65.1,3.6,"Second Round",6,2019
"471","Virginia","ACC",38,"35 - 3",35,3,0.921,123,89.9,55.2,44.7,14.7,17.5,30.4,25.4,29.1,26.3,52.5,45.7,39.5,28.9,60.7,11.1,"Champion",1,2019
"472","Virginia Tech","ACC",35,"26 - 9",26,9,0.743,117.8,93.4,55.6,49,17.3,21.6,29.6,27.2,31.9,26.3,52.9,49,39.4,32.7,65.1,5,"Sweet Sixteen",4,2019
"473","Washington","P12",36,"27 - 9",27,9,0.75,105.6,93.1,52.1,47.5,19.8,24.2,29.1,34.9,34.7,34,51.9,46,35,33.4,67.3,3.1,"Second Round",9,2019
"474","Wisconsin","B10",34,"23 - 11",23,11,0.676,108.2,88.6,51.1,45.2,14.6,17.2,24.5,26.5,27.3,25.8,49.7,44.1,35.9,31.5,65,6.3,"First Round",5,2019
"475","Wofford","SC",32,"30 - 2",30,2,0.938,116.4,97.1,57.5,49.9,16.1,19.1,31.8,25.2,27.8,31.8,53.9,50.6,41.4,32.6,67.1,4,"Second Round",7,2019
"476","Yale","Ivy",29,"22 - 7",22,7,0.759,110.5,102.5,55.6,47.3,17.8,15.2,26.3,24.6,30.1,31.1,56,47.8,36.5,31,72.2,-0.9,"First Round",14,2019
"477","Abilene Christian","Slnd",23,"23 - 0",23,0,1,101.8,94.7,52.9,45.4,19.4,26.7,30.6,27.9,34,42.5,50.8,46.3,37.7,29.1,70,-1.1,"Second Round",14,2021
"478","Alabama","SEC",30,"24 - 6",24,6,0.8,111,88.1,51.3,45.3,18.6,21.1,31.5,29.8,28.6,31.9,50.1,46.4,35.1,28.8,73.9,6.8,"Sweet Sixteen",2,2021
"479","Appalachian St.","SB",24,"17 - 7",17,7,0.708,99,104.4,47.7,50.4,17.5,20,27.8,30.6,33,24,46.7,50.4,32.6,33.5,65.4,-7.7,"First Four",16,2021
"480","Arkansas","SEC",28,"22 - 6",22,6,0.786,110.4,91.2,51.5,47.6,17.4,20.3,31.7,26.2,32.7,29.3,51.9,46.9,33.9,32.6,73.1,4.6,"Elite Eight",3,2021
"481","BYU","WCC",25,"20 - 5",20,5,0.8,112.8,93.3,55,46.6,19,16,28.6,23.3,27.8,29.4,54.5,45.5,37.3,32.4,68.2,3.3,"First Round",6,2021
"482","Baylor","B12",24,"22 - 2",22,2,0.917,123.2,94.5,57.5,49.1,17.6,24.6,37.5,30.9,27,31.7,54.1,48.1,41.8,34,68.8,6.6,"Champion",1,2021
"483","Clemson","ACC",23,"16 - 7",16,7,0.696,105.9,91.9,50.4,48.7,19.5,21.6,26.6,26.6,23.6,29.6,49.2,47.5,34.6,33.7,64.4,2.9,"First Round",7,2021
"484","Cleveland St.","Horz",26,"19 - 7",19,7,0.731,99.9,100.7,50.6,48.9,18.5,20.2,30.9,31.8,31.9,37.2,52.1,50.9,31.9,30.8,66.2,-2.7,"First Round",15,2021
"485","Colgate","Pat",15,"14 - 1",14,1,0.933,110.8,100,57.1,45.7,13.8,16.6,27.9,25.6,31.1,25.1,55.4,49.5,40.2,26.1,71.9,0.3,"First Round",14,2021
"486","Colorado","P12",30,"22 - 8",22,8,0.733,113.7,93.5,52,47.7,16.8,19.8,30.9,25.6,29.9,28,50.3,46.5,36.7,33.3,66.3,2.6,"Second Round",5,2021
"487","Connecticut","BE",22,"15 - 7",15,7,0.682,114.6,92.8,49.5,46.2,17.6,19.6,36.9,29.8,29.6,36.9,49,45.6,33.6,31.6,65.7,2.1,"First Round",7,2021
"488","Creighton","BE",28,"20 - 8",20,8,0.714,114.4,94.3,55.7,46.9,15.8,17.8,24.8,28.2,26.9,25.7,56.3,46.1,36.7,32.1,69.1,3.5,"Sweet Sixteen",5,2021
"489","Drake","MVC",27,"25 - 2",25,2,0.926,111.8,101.6,54.5,48.4,15.2,18.8,31.6,24.9,25.2,29.7,54.4,49.7,36.6,30.8,66.7,1.5,"First Round",11,2021
"490","Drexel","CAA",19,"12 - 7",12,7,0.632,107.9,105,54.3,49.6,19.6,16.4,29.4,24.3,28.5,27.2,53.5,50.4,37.2,32.1,64.4,-4.5,"First Round",16,2021
"491","Eastern Washington","BSky",22,"16 - 6",16,6,0.727,107.7,101.1,54.1,47.5,16.5,16.5,23.9,25.8,30.4,27.7,54.2,47.6,35.9,31.6,72.2,-3.6,"First Round",14,2021
"492","Florida","SEC",23,"14 - 9",14,9,0.609,110.6,93.4,52.5,47.5,20.7,20.5,30.7,31.5,33.8,34.8,51.9,48.4,35.7,30.6,68.6,1.4,"Second Round",7,2021
"493","Florida St.","ACC",22,"16 - 6",16,6,0.727,117.8,94,54.4,46.5,20.1,19.6,35.4,31.4,32.7,36.3,52.1,44.2,39,33.3,70.4,2.5,"Sweet Sixteen",4,2021
"494","Georgetown","BE",25,"13 - 12",13,12,0.52,108.5,93.2,49.6,48,21.7,16.2,32.4,27.3,30.3,25.9,46.1,47.4,36.6,32.6,69.5,-1,"First Round",12,2021
"495","Georgia Tech","ACC",25,"17 - 8",17,8,0.68,113,94.8,53.9,52.2,15.9,22.7,24.8,29.7,29,28.9,54.8,50.7,34.9,36.7,67.7,1.9,"First Round",9,2021
"496","Gonzaga","WCC",26,"26 - 0",26,0,1,125.4,89.8,61,47.5,16.1,20.3,30.4,23.4,36.7,25.9,64,46.8,36.5,32.5,74.6,8.5,"Runner-up",1,2021
"497","Grand Canyon","WAC",20,"17 - 3",17,3,0.85,102.7,96,53,44.9,20.4,16.6,32.4,22.6,34.7,29.6,55.7,44.9,32.2,29.9,65.4,-3.2,"First Round",15,2021
"498","Hartford","AE",23,"15 - 8",15,8,0.652,97.3,99.6,50.4,47.6,19,20.4,24.8,28.6,28.6,25,51.3,50.7,32.7,28.7,66.9,-4.9,"First Round",16,2021
"499","Houston","Amer",26,"24 - 2",24,2,0.923,120.6,90.9,51.3,42.9,16.3,21.6,39.4,28,30.7,42.4,49.9,43,35.5,28.5,65,4,"Final Four",2,2021
"500","Illinois","B10",29,"23 - 6",23,6,0.793,117.7,90.4,55.6,46.6,18.2,16.1,33,22.2,39.2,30.5,55.3,45.4,37.6,32.7,70.7,8.9,"Second Round",1,2021
"501","Iona","MAAC",17,"12 - 5",12,5,0.706,101.1,99.5,51.2,45.6,22.4,19.6,33.4,26.1,36.1,46.3,49.9,45.8,35.5,30.1,68.5,-3.2,"First Round",15,2021
"502","Iowa","B10",29,"21 - 8",21,8,0.724,123.5,95.7,54.6,48.3,13.3,16.3,30.7,28.6,32,22.6,52.4,45.8,38.6,34.8,70,5.6,"Second Round",2,2021
"503","Kansas","B12",27,"20 - 7",20,7,0.741,108.5,90,49.8,47,17.7,20,30.9,26.9,30.5,26.5,49.3,45.9,33.8,32.6,68.2,4.2,"Second Round",3,2021
"504","LSU","SEC",27,"18 - 9",18,9,0.667,119.3,99.8,52.8,48.5,16.1,18.4,31.5,32.8,33.9,29.1,53,51.3,35,30,70.4,2.4,"Second Round",8,2021
"505","Liberty","ASun",24,"23 - 1",23,1,0.958,109.1,101.5,57.4,48,15.6,17.3,23.1,22.4,25.5,29.6,56.8,47.8,38.8,32.2,63.4,-1.7,"First Round",13,2021
"506","Loyola Chicago","MVC",26,"24 - 2",24,2,0.923,108.5,88.3,56.3,46.7,18.5,21.6,26,21,30.7,22.4,58,45.5,35.7,32.5,63.9,1.7,"Sweet Sixteen",8,2021
"507","Maryland","B10",28,"16 - 12",16,12,0.571,110,93,52.6,48.5,16.8,16.9,20.9,24.8,32.6,25.6,52.8,46.4,34.9,34.3,65.4,0.2,"Second Round",10,2021
"508","Michigan","B10",24,"20 - 4",20,4,0.833,118.1,91.1,54.9,44.9,16.3,15.1,29.4,24.8,28.9,24.5,53.3,42.3,38.7,33.5,66.9,7.2,"Elite Eight",1,2021
"509","Michigan St.","B10",27,"15 - 12",15,12,0.556,105.8,93.5,47.9,47.8,18.9,15.4,30.4,26.1,31.4,37.1,47.8,48.1,32,31.5,68.7,1.4,"First Four",11,2021
"510","Missouri","SEC",25,"16 - 9",16,9,0.64,111.3,95,50.9,48.5,18.9,18.4,28.6,29.2,37.5,36.4,52.6,48.3,32,32.7,68.6,2.1,"First Round",9,2021
"511","Morehead St.","OVC",28,"23 - 5",23,5,0.821,99.3,96.7,51.9,47,22.9,18,31.3,24.9,36.8,23.1,51.8,47.6,34.7,30.7,65.6,-2,"First Round",14,2021
"512","Mount St. Mary's","NEC",22,"12 - 10",12,10,0.545,95.7,100.6,48.7,45.5,20.1,16.3,31.7,24.6,29.7,24.6,47.7,45.6,33.7,30.1,62.2,-7.2,"First Four",16,2021
"513","Norfolk St.","MEAC",21,"16 - 5",16,5,0.762,99.4,104.1,49.7,47.4,17.8,20.7,28.8,28.7,38.6,42,46.1,47.2,37.4,31.7,67.9,-5,"First Round",16,2021
"514","North Carolina","ACC",28,"18 - 10",18,10,0.643,108.8,91.6,48.5,48.7,20.5,19.3,41.2,26.3,34.9,27.1,48.9,46.8,31.7,34.4,71.8,2.3,"First Round",8,2021
"515","North Texas","CUSA",25,"17 - 8",17,8,0.68,104.4,94.6,54,45.7,20.4,21.4,27.9,26.9,27.2,31.7,52.9,44.8,37.3,31.6,63.3,-2.5,"Second Round",13,2021
"516","Ohio","MAC",22,"16 - 6",16,6,0.727,111.9,100.7,55.8,51.1,17,20,28.7,27.4,29.6,30.2,56.4,51.6,36.6,33.7,69.3,-2,"Second Round",13,2021
"517","Ohio St.","B10",30,"21 - 9",21,9,0.7,122.1,97,53.1,48.9,15.3,15,29.1,27.4,37.6,33.8,52.1,47.4,36.5,34.1,66.9,6,"First Round",2,2021
"518","Oklahoma","B12",25,"15 - 10",15,10,0.6,111,94.5,50.8,48.9,15.8,18.7,27.3,27.5,29.1,22.8,50.8,46.3,33.8,35.4,67.6,0.3,"Second Round",8,2021
"519","Oklahoma St.","B12",28,"20 - 8",20,8,0.714,109.3,92.3,52.1,47.2,21.4,19.3,31.9,30.2,36.4,30.5,52.8,46.9,33.8,31.7,71.6,4.6,"Second Round",4,2021
"520","Oral Roberts","Sum",23,"16 - 7",16,7,0.696,107,107.1,53.6,50.4,15.7,18.2,23.2,33,27.8,33.1,49.7,49,38.8,35.6,71.4,-5.1,"Sweet Sixteen",15,2021
"521","Oregon","P12",26,"20 - 6",20,6,0.769,113.1,98.2,54.4,50.1,16.8,20.3,28.3,27.2,26.8,27.1,52.9,49.9,37.9,33.6,67.2,3,"Sweet Sixteen",7,2021
"522","Oregon St.","P12",28,"17 - 11",17,11,0.607,108.5,99.6,48.7,50.4,17.2,18.5,29.8,29.4,34,38.2,46.9,52.5,34.6,31.4,65.1,-1.6,"Elite Eight",12,2021
"523","Purdue","B10",27,"18 - 9",18,9,0.667,112.4,92.9,51.4,48.6,18.7,16.9,32.2,24.1,32.2,30.3,52.1,49.7,33.5,31.5,66.6,3.8,"First Round",4,2021
"524","Rutgers","B10",26,"15 - 11",15,11,0.577,106.7,91.9,50.2,47.7,16.4,18.9,27.4,29.1,27.7,33.2,51.9,47.4,31.1,32.1,67.8,1.9,"Second Round",10,2021
"525","San Diego St.","MWC",26,"23 - 3",23,3,0.885,111.1,90,52.7,46.7,16.9,22.5,29.9,24.4,34.3,32.7,50.5,44.6,37.5,32.8,66,2.8,"First Round",6,2021
"526","St. Bonaventure","A10",20,"16 - 4",16,4,0.8,111.1,92.9,50.5,45.5,16.9,19.5,33.6,28.4,27.8,28.3,49.3,45.1,35.4,30.6,64.7,2.1,"First Round",9,2021
"527","Syracuse","ACC",25,"16 - 9",16,9,0.64,112.8,97.6,50.7,48.5,16,20.8,30.1,33.5,28.1,25.1,50.9,49.3,33.7,31.6,69.4,0.5,"Sweet Sixteen",11,2021
"528","Tennessee","SEC",26,"18 - 8",18,8,0.692,108.8,89.2,50.1,45.9,18.2,22.9,31.4,28.6,35.1,31.1,49.8,44.8,33.8,31.8,66.9,2.4,"First Round",5,2021
"529","Texas","B12",26,"19 - 7",19,7,0.731,113.8,93.5,52.9,46.7,20.2,17.8,31.3,26.9,34,36.7,52.4,45.8,35.7,32.3,69.1,4.2,"First Round",3,2021
"530","Texas Southern","SWAC",23,"16 - 7",16,7,0.696,97.3,103.5,48.3,46.5,21.4,19.2,32.9,25.7,38.9,33.8,51,45.2,27.7,32.4,71.8,-4.5,"First Round",16,2021
"531","Texas Tech","B12",27,"17 - 10",17,10,0.63,112.3,92.2,49.7,47.9,16.2,23.8,33.8,29.7,39.3,36.4,48.7,44.8,34.7,35.1,65.7,0.9,"Second Round",6,2021
"532","UC Santa Barbara","BW",24,"22 - 2",22,2,0.917,107.9,97.6,53,47.7,16.5,20.8,28.2,24.5,35.5,28,53.4,46.6,34.8,33.4,65.8,-0.2,"First Round",12,2021
"533","UCLA","P12",26,"17 - 9",17,9,0.654,112.3,97.5,52,50.7,16.6,17.6,30.4,24.4,32.6,28,50.6,49.4,36.7,35.1,64.7,1,"Final Four",11,2021
"534","UNC Greensboro","SC",29,"21 - 8",21,8,0.724,102.3,97.5,48.2,48.1,15.6,21,32.4,25.9,23.8,36.4,50.3,48.3,30,31.9,68.3,-3.5,"First Round",13,2021
"535","USC","P12",29,"22 - 7",22,7,0.759,112,92,52.1,45.4,18.1,17.4,35.7,27.3,37.5,24.8,52.1,42.2,34.8,34.2,67.2,3.6,"Elite Eight",6,2021
"536","Utah St.","MWC",27,"20 - 7",20,7,0.741,105.2,90,49.8,45.6,19.7,19.7,35.3,21.3,29.4,26.1,49.6,42.9,33.6,33,69,-1.1,"First Round",11,2021
"537","VCU","A10",26,"19 - 7",19,7,0.731,104.6,89.7,50.9,45.8,20.6,23.5,28.3,31.3,34,35.4,51.7,45.9,32.9,30.5,70,1.3,"First Round",10,2021
"538","Villanova","BE",22,"16 - 6",16,6,0.727,117.9,96.7,52.8,51.8,13.5,19,27.9,24.8,30,25.8,52.8,51,35.2,35.4,65.1,3.2,"Sweet Sixteen",5,2021
